102,From Ontario,2012-01-17 07:00:00,2012-01-09 06:09:48.250998,2012-01-09 06:09:48.250998,219,22:09:00
103,From LAX,2012-01-17 02:45:00,2012-01-09 15:39:50.324472,2012-01-09 15:40:12.704761,30,07:39:00
100,To Ontario,2012-01-17 06:30:00,2012-01-08 07:02:59.579235,2012-01-10 02:47:44.095133,,23:02:00
104,From LAX,2012-01-17 04:15:00,2012-01-10 05:33:20.009399,2012-01-10 05:33:20.009399,227,21:32:00
105,From Ontario,2012-01-16 04:30:00,2012-01-10 19:42:05.735675,2012-01-10 19:42:05.735675,196,11:41:00
106,From Ontario,2012-01-16 23:30:00,2012-01-11 05:21:17.470903,2012-01-11 05:21:17.470903,232,21:20:00
107,From Ontario,2012-01-15 23:45:00,2012-01-12 03:55:49.429535,2012-01-12 03:55:49.429535,156,19:55:00
111,From Ontario,2012-01-15 20:00:00,2012-01-12 08:22:53.83789,2012-01-12 08:22:53.83789,247,00:18:00
112,From Ontario,2012-01-16 04:00:00,2012-01-12 15:50:09.522357,2012-01-12 15:50:09.522357,16,07:49:00
109,To LAX,2012-01-16 18:15:00,2012-01-12 04:29:08.887811,2012-01-12 17:31:35.200732,,11:00:00
113,From LAX,2012-01-17 07:15:00,2012-01-12 20:09:34.260715,2012-01-12 20:09:34.260715,253,12:09:00
114,From Ontario,2012-01-16 22:00:00,2012-01-13 01:18:57.401792,2012-01-13 01:18:57.401792,33,15:00:00
115,From LAX,2012-01-15 23:00:00,2012-01-13 01:33:47.536973,2012-01-13 01:33:47.536973,23,17:33:00
116,From Ontario,2012-01-15 20:45:00,2012-01-13 03:37:12.233115,2012-01-13 03:37:12.233115,259,19:35:00
117,From Ontario,2012-01-16 06:00:00,2012-01-13 05:14:21.352346,2012-01-13 05:14:21.352346,262,21:13:00
118,From Ontario,2012-01-16 15:30:00,2012-01-13 05:17:42.496168,2012-01-13 05:17:42.496168,263,21:17:00
110,From Ontario,2012-01-17 16:15:00,2012-01-12 06:14:52.602544,2012-01-13 07:02:05.780985,11,22:14:00
119,From Ontario,2012-01-15 19:00:00,2012-01-13 16:04:32.002211,2012-01-13 16:04:32.002211,268,08:03:00
121,From Ontario,2012-01-16 20:00:00,2012-01-13 17:46:33.904528,2012-01-13 17:46:33.904528,272,09:46:00
122,From Ontario,2012-01-17 00:30:00,2012-01-13 20:04:50.889032,2012-01-13 20:04:50.889032,273,12:04:00
123,From Ontario,2012-01-14 22:30:00,2012-01-13 20:35:59.004091,2012-01-13 20:35:59.004091,118,12:35:00
125,From LAX,2012-01-15 20:15:00,2012-01-14 08:19:31.446559,2012-01-14 08:20:06.879477,,00:19:00
124,From Ontario,2012-01-16 16:30:00,2012-01-14 08:13:04.760221,2012-01-14 08:20:29.35059,,00:12:00
120,From LAX,2012-01-16 21:00:00,2012-01-13 17:32:45.74628,2012-01-14 15:26:03.018151,271,13:30:00
126,From LAX,2012-01-16 01:00:00,2012-01-15 04:22:35.637516,2012-01-15 04:22:35.637516,299,20:21:00
108,From Ontario,2012-01-16 21:00:00,2012-01-12 04:25:20.950888,2012-01-15 07:11:55.994687,,20:24:00
127,To Ontario,2012-01-23 02:45:00,2012-01-22 21:11:34.09899,2012-01-22 21:11:34.09899,312,17:30:00
128,To LAX,2012-01-29 05:15:00,2012-01-23 04:46:56.469128,2012-01-23 04:46:56.469128,290,20:15:00
129,To Ontario,2012-02-06 20:00:00,2012-02-03 00:48:31.210949,2012-02-03 00:51:54.614527,,11:00:00
131,To LAX,2012-02-17 07:45:00,2012-02-11 00:43:06.554675,2012-02-11 00:43:06.554675,292,21:15:00
132,From Ontario,2012-02-29 15:45:00,2012-02-19 02:01:53.222423,2012-02-19 02:02:10.878057,,18:01:00
133,To LAX,2012-03-08 19:00:00,2012-02-23 06:37:07.673253,2012-02-23 06:37:07.673253,229,07:30:00
134,To LAX,2012-03-10 04:30:00,2012-02-27 05:40:37.486375,2012-02-27 05:40:37.486375,334,16:30:00
135,From LAX,2012-03-15 20:30:00,2012-02-28 05:18:00.061503,2012-02-28 05:18:00.061503,323,21:16:00
136,To LAX,2012-03-09 07:45:00,2012-02-28 10:57:59.584481,2012-02-28 10:57:59.584481,318,20:30:00
137,To LAX,2012-03-09 21:00:00,2012-02-29 00:41:21.550246,2012-02-29 00:42:08.842567,,09:00:00
138,From LAX,2012-03-16 06:15:00,2012-02-29 00:43:27.526019,2012-02-29 00:43:27.526019,337,23:30:00
164,To Ontario,2012-03-11 19:00:00,2012-03-05 17:37:42.232686,2012-03-07 00:04:10.584771,,10:00:00
156,To Ontario,2012-03-10 03:30:00,2012-03-04 21:53:04.742012,2012-03-04 21:53:04.742012,344,18:00:00
155,To Ontario,2012-03-12 15:45:00,2012-03-04 21:27:58.054639,2012-03-04 22:01:56.420236,343,07:45:00
142,From Ontario,2012-03-18 15:30:00,2012-03-01 23:15:10.75975,2012-03-01 23:17:04.143441,184,08:30:00
157,To LAX,2012-03-10 21:30:00,2012-03-05 01:11:26.856148,2012-03-05 01:11:26.856148,21,10:30:00
